store_id,name,address,city,latitude,longitude,phone,working_hours
0067,"ул. Ленина, д. 132","ул. Ленина, д. 132",,,,,
2740,"ул. Ленина, д. 132","ул. Ленина, д. 132",,,,,
0025,"ул. Песчаная, д. 40/1","ул. Песчаная, д. 40/1",,,,,
2815,"пр. Московский, д. 12","пр. Московский, д. 12",,,,,
0204,"пр. Московский, д. 12","пр. Московский, д. 12",,,,,
0218,"ул. Советская, д. 25","ул. Советская, д. 25",,,,,
0031,"ул. Николая Островского, д. 146А","ул. Николая Островского, д. 146А",,,,,
2750,"ул. Николая Островского, д. 146, лит. А","ул. Николая Островского, д. 146, лит. А",,,,,
0194,"ул. Яблочкова, д. 2В","ул. Яблочкова, д. 2В",,,,,
2701,"мкр. Юго-Восточный, д. 65","мкр. Юго-Восточный, д. 65",,,,,
0237,"мкр-н Юго-Восточный, д. 65","мкр-н Юго-Восточный, д. 65",,,,,
0151,"г. Балаково, ул. Комарова, д. 117","г. Балаково, ул. Комарова, д. 117",,,,,
0083,"ул. Власихинская, д. 67","ул. Власихинская, д. 67",,,,,
2636,"ул. Власихинская, д. 67","ул. Власихинская, д. 67",,,,,
0097,"пр. Ленина, д. 102В","пр. Ленина, д. 102В",,,,,
0854,"ул. Мало-Олонская, д. 28","ул. Мало-Олонская, д. 28",,,,,
0075,"Павловский тракт, д. 156","Павловский тракт, д. 156",,,,,
2534,"ул. Павловский тракт, д. 156","ул. Павловский тракт, д. 156",,,,,
0843,"ул. Попова, д. 86","ул. Попова, д. 86",,,,,
0844,"ул. Северо-Западная, д. 155","ул. Северо-Западная, д. 155",,,,,
0846,"ул. Сергея Семенова, д. 9","ул. Сергея Семенова, д. 9",,,,,
0848,"пр. Энергетиков, 11","пр. Энергетиков, 11",,,,,
0122,"ул. Победы, д. 83Б","ул. Победы, д. 83Б",,,,,
0123,"ул. Щорса, д. 43А","ул. Щорса, д. 43А",,,,,
0867,"пер. Коммунарский, зд. 53","пер. Коммунарский, зд. 53",,,,,
0085,"ул. Митрофанова, д. 1/1","ул. Митрофанова, д. 1/1",,,,,
2703,"ул. Гагарина, д. 75","ул. Гагарина, д. 75",,,,,
0110,"ул. Гагарина, д. 75","ул. Гагарина, д. 75",,,,,
0115,"ул. Объездная, д. 30","ул. Объездная, д. 30",,,,,
0765,"ул. Большая Московская, д. 69","ул. Большая Московская, д. 69",,,,,
0014,"ул. Великая, д. 22, лит. А","ул. Великая, д. 22, лит. А",,,,,
3525,"пр. Мира, д. 21А","пр. Мира, д. 21А",,,,,
0107,"ул. Псковская, д. 33","ул. Псковская, д. 33",,,,,
2531,"ул. Псковская, д. 33","ул. Псковская, д. 33",,,,,
3629,"г. Старая Русса, ул. Латышских Гвардейцев, д. 40, лит. А","г. Старая Русса, ул. Латышских Гвардейцев, д. 40, лит. А",,,,,
0323,"ш. Архонское, д. 1А, строение 1","ш. Архонское, д. 1А, строение 1",,,,,
0172,"ш. Московское, д. 2","ш. Московское, д. 2",,,,,
0136,"ул. Космонавтов, д. 30","ул. Космонавтов, д. 30",,,,,
2757,"ул. Космонавтов, д. 30","ул. Космонавтов, д. 30",,,,,
0211,"ул. Пролетарская, д. 8","ул. Пролетарская, д. 8",,,,,
0207,"пр. Университетский, д. 2","пр. Университетский, д. 2",,,,,
2751,"пр. Университетский, д. 105","пр. Университетский, д. 105",,,,,
0032,"пр. Университетский, д. 105","пр. Университетский, д. 105",,,,,
2754,"пр. Ленина, д. 313","пр. Ленина, д. 313",,,,,
0041,"пр. Ленина, д. 313","пр. Ленина, д. 313",,,,,
2668,"ш. Окружное, д. 35","ш. Окружное, д. 35",,,,,
0023,"ш. Окружное, д. 35","ш. Окружное, д. 35",,,,,
3185,"ул. Ворошилова, д.1а","ул. Ворошилова, д.1а",,,,,
0121,"ул. Домостроителей, д. 24","ул. Домостроителей, д. 24",,,,,
3180,"ул. Кривошеина, д. 13/1","ул. Кривошеина, д. 13/1",,,,,
